row,Rec,Tgts,Yds,Avg,Lng,Td,player,playerid,recRate,ydsPerTgt
182,0,0,0,0,0,0,Jacoby Jones,9,#DIV/0!,#DIV/0!
183,2,3,54,27,47,0,Jacoby Jones,9,0.67,18.0
184,2,4,1,5,4,0,Jacoby Jones,9,0.50,0.3
185,5,7,50,10,24,0,Jacoby Jones,9,0.71,7.1
186,1,3,5,5,5,0,Jacoby Jones,9,0.33,1.7
187,0,0,0,0,0,0,Jacoby Jones,9,#DIV/0!,#DIV/0!
188,3,3,51,17,43,0,Jacoby Jones,9,1.00,17.0
189,1,3,7,7,7,0,Jacoby Jones,9,0.33,2.3
190,3,5,36,12,24,0,Jacoby Jones,9,0.60,7.2
160,3,4,24,8,13,0,Jacoby Jones,9,0.75,6.0
161,2,2,42,21,31,1,Jacoby Jones,9,1.00,21.0
162,4,7,32,8,12,0,Jacoby Jones,9,0.57,4.6
163,4,8,27,6.8,9,0,Jacoby Jones,9,0.50,3.4
164,2,2,17,8.5,9,0,Jacoby Jones,9,1.00,8.5
